DIC 2024,74679735000.00,10992833967.00,436000000.00,10556833967.00,9433411700.00,6714726000.00,1286044300.00,850786000.00,581855400.00,4826773671.00,25299744854.00,3791125000.00,20335845808.00
ENE 2025,76239232000.00,10858525417.00,286000000.00,10572525417.00,8722070833.33,6408979000.00,1034511433.33,747173000.00,531407400.00,4637349983.00,24905209720.00,3856029000.00,23260047046.67
FEB 2025,77177575000.00,10295556068.00,215000000.00,10080556068.00,8886197933.33,6374518000.00,1192720533.33,764387000.00,554572400.00,4362899903.00,24376856648.00,3612914000.00,25643150447.67
MAR 2025,77359372000.00,11308340190.00,215000000.00,11093340190.00,9485474000.00,6954657000.00,1286462100.00,665348000.00,579006900.00,4460310357.00,23652193545.00,3372148000.00,25080905908.00
ABR 2025,78415938000.00,9767715094.00,246000000.00,9521715094.00,11019138000.00,8138452000.00,1442724100.00,807855000.00,630106900.00,4308244612.00,22934151634.00,3705135000.00,26681553660.00
MAY 2025,78982036000.00,10343519748.00,246000000.00,10097519748.00,11850538366.67,9098023000.00,1205089666.67,868374000.00,679051700.00,4096317181.00,21979744280.00,3522562000.00,27189354424.33
JUN 2025,78779919000.00,10215523481.00,218000000.00,9997523481.00,11787579700.00,9043336000.00,1096706000.00,1068559000.00,578978700.00,3765234144.00,21206856904.00,3966701000.00,27838023771.00
JUL 2025,79106190000.00,10587980043.00,218000000.00,10369980043.00,11934931700.00,8785875000.00,1203605000.00,1338368000.00,607083700.00,3726408084.00,20486734752.00,3831265000.00,28538870421.00
AGO 2025,79231436000.00,10153421938.00,218000000.00,9935421938.00,12058291966.67,9137000000.00,1185061666.67,1141484000.00,594746300.00,3764858723.00,20082173426.00,3805940000.00,29366749946.33
SEP 2025,78785457000.00,8707010706.00,218000000.00,8489010706.00,12546463170.00,9069061000.00,1562946000.00,1265361000.00,649095170.00,3103402153.00,19765946892.00,4075019000.00,30587615079.00
OCT 2025,79058976000.00,8820150747.00,153000000.00,8667150747.00,12100077870.00,8775344000.00,1371409000.00,1382918000.00,570406870.00,3061916600.00,19531209972.00,3754734000.00,31790886811.00
NOV 2025,78258416000.00,9266023025.00,153000000.00,9113023025.00,11059121070.00,7577410000.00,1351945400.00,1549682000.00,580083670.00,3524606600.00,19292405582.00,3930409000.00,31185850723.00
"FUENTE,""Banco de España"",""Banco de España"",""Banco de España"",""Banco de España"",""Banco de España"",""Banco de España"",""Banco de España"",""Banco de España"",""Banco de España"",""Banco de España"",""Banco de España"",""Banco de España"",""Banco de España"""
"NOTAS,"""","""","""","""","""","""","""","""","""","""","""","""","""""
